;;;;;;;
FECHA;Carapungo;CENTRO;COTOCOLLAO;SANGOLQUI;TUMBACO;;
16/1/2025;0,926;0,481;0,274;0,401;1,028;;
16/1/2025;0,805;0,493;0,281;0,696;0,685;;
16/1/2025;0,59;0,629;0,212;0,693;0,355;;
16/1/2025;0,489;0,472;0,096;0,65;0,161;;
16/1/2025;0,357;0,366;0,033;0,509;0,12;;
16/1/2025;0,174;0,156;0,032;0,236;0,162;;
17/1/2025;0,071;0,087;0,065;-0,043;0,063;;
17/1/2025;0;0,037;0;-0,058;0;;
17/1/2025;0,043;0,113;-0,017;-0,078;-0,004;;
17/1/2025;0,034;0,083;-0,016;-0,083;0,012;;
17/1/2025;0,05;0,088;-0,017;-0,083;-0,021;;
17/1/2025;0,103;0,126;0,092;-0,069;-0,015;;
17/1/2025;0,351;0,25;0,271;-0,009;0,137;;
17/1/2025;0,776;0,572;0,674;0,05;0,553;;
17/1/2025;1,105;0,784;0,782;0,21;0,524;;
17/1/2025;0,907;0,678;0,904;0,305;0,472;;
17/1/2025;0,646;0,494;0,818;0,218;0,345;;
17/1/2025;0,426;0,365;0,565;0,063;0,249;;
17/1/2025;0,469;0,417;0,405;-0,004;0,201;;
17/1/2025;0,336;0,416;0,17;0,004;0,302;;
17/1/2025;0,271;0,313;0,067;0,054;0,291;;
17/1/2025;0,384;0,242;0,09;0,149;0,482;;
17/1/2025;0,779;0,516;0,158;0,39;0,452;;
17/1/2025;0,665;0,544;0,362;0,248;0,693;;
17/1/2025;0,793;0,579;0,661;0,332;1,022;;
17/1/2025;0,772;0;0,407;0,592;1,252;;
17/1/2025;0,78;0,681;0,281;0,586;1,001;;
17/1/2025;0,654;0,563;0,253;0,609;0,339;;
17/1/2025;0,195;0,275;0,171;0,305;0,262;;
17/1/2025;0,228;0,301;0,182;0,046;0,219;;
18/1/2025;0,344;0,379;0,161;0,023;0,214;;
18/1/2025;0,234;0,224;0,152;0;0,184;;
18/1/2025;0,237;0,216;0,26;0,046;0,179;;
18/1/2025;0,176;0,218;0,331;0,026;0,212;;
18/1/2025;0,249;0,324;0,289;0,006;0,248;;
18/1/2025;0,264;0,468;0,304;0,066;0,234;;
18/1/2025;0,614;0,727;0,762;0,148;0,794;;
18/1/2025;1,058;1,574;0,923;0,487;1,668;;
18/1/2025;0,979;1,597;0,813;0,445;1,269;;
18/1/2025;0,761;0,749;0,805;0,448;0,68;;
18/1/2025;0,908;0,633;0,562;0,297;0,368;;
18/1/2025;0,763;0,527;0,437;0,201;0,509;;
